modelid,year,hpwt,size,air,mpd,price,share,firmid,s0,logdif,ownprice_OLS,const,own_const,own_hpwt,own_air,own_mpd,own_size,all_const,all_hpwt,all_air,all_mpd,all_size
AD100L,71,0.4879084,1.2627,0,1.9827198,8.8765432,2.81e-4,7,0.8801065,-8.049443532525256,-0.7867955779184116,1,4,1.3538381000000002,0,9.4351648,4.378900000000001,87,45.0837565,0,164.6402886,127.0597
ADSUPE,71,0.4657662,1.1136,0,2.2019093,7.6419753,3.76e-5,7,0.8801065,-10.060794151463153,-0.6773664293777928,1,4,1.3759803000000002,0,9.2159753,4.5280000000000005,87,45.0837565,0,164.6402886,127.0597
AMAMBS,71,0.4524887,1.6458,0,1.5042857,8.9283951,4.424e-4,15,0.8801065,-7.595583751650878,-0.7913916064294503,1,4,1.917475,0,7.2288049999999995,5.494199999999999,87,44.55553929999999,0,167.3250825,125.56129999999999
AMGREM,71,0.5289969,1.1502,0,1.8881456,4.9358025,0.0010513,15,0.8801065,-6.730015429277217,-0.43749773903862044,1,4,1.8409668,0,6.8449451,5.9898,87,44.5555393,0,167.3250825,125.56129999999999
AMHORN,71,0.4943244,1.278,0,1.935989,5.5160494,6.701e-4,15,0.8801065,-7.1803712468798775,-0.4889294377004223,1,4,1.8756393,0,6.7971017,5.862,87,44.55553929999999,0,167.32508249999998,125.56130000000002
AMJAVL,71,0.4676134,1.4592,0,1.7167995,7.108642,3.405e-4,15,0.8801065,-7.857383076269436,-0.630093040115559,1,4,1.9023503,0,7.0162911999999995,5.6808,87,44.5555393,0,167.32508249999998,125.56129999999999
AMMATA,71,0.4265403,1.6068,0,1.6878709,6.8395062,5.222e-4,15,0.8801065,-7.429747545593974,-0.6062374859287069,1,4,1.9434234,0,7.0452198,5.5332,87,44.5555393,0,167.32508249999998,125.56130000000002
BKCNTU,71,0.7313675,1.768,0,2.1941209,11.2691358,4.873e-4,19,0.8801065,-7.498918252009542,-0.9988692686587795,1,28,16.6843124,0,48.8536813,45.9777,63,29.509823100000002,0,125.01037099999999,84.9556
BKELCT,71,0.7190139,1.816,0,2.0561538,12.1358025,0.0024151,19,0.8801065,-5.898302228762117,-1.0756885339657,1,28,16.696666,0,48.9916484,45.9297,63,29.5098231,0,125.01037099999999,84.9556
BKLSAB,71,0.564002,1.768,0,1.7279258,9.8567901,0.0026506,19,0.8801065,-5.805256893412425,-0.8736823207428289,1,28,16.851677900000002,0,49.3198764,45.9777,63,29.509823099999995,0,125.01037099999999,84.9556
BKRIVE,71,0.7283237,1.744,0,1.9782692,12.9703704,5.514e-4,19,0.8801065,-7.375337703269307,-1.1496626383437032,1,28,16.6873562,0,49.069533,46.0017,63,29.509823100000002,0,125.01037099999999,84.9556
BKSKYL,71,0.4508706,1.6224,0,1.7268132,7.1530864,0.0027561,19,0.8801065,-5.766226285913472,-0.6340324855275115,1,28,16.9648093,0,49.320989,46.1233,63,29.5098231,0,125.01037099999999,84.9556
CDCALA,71,0.7324841,1.808,0,1.9181868,15,1.272e-4,19,0.8801065,-8.84203755095298,-1.3295641560980824,1,28,16.6831958,0,49.1296154,45.9377,63,29.5098231,0,125.01037099999999,84.9556
CDDEVI,71,0.7293869,1.808,0,1.9126236,16.0444444,0.0027046,19,0.8801065,-5.785088895819744,-1.4221412119165737,1,28,16.686293,0,49.135178599999996,45.9377,63,29.5098231,0,125.01037100000002,84.9556
CDELDR,71,0.7807487,1.776,0,2.0183242,18.2296296,5.341e-4,19,0.8801065,-7.407215114513278,-1.6158308063403084,1,28,16.6349312,0,49.029478,45.969699999999996,63,29.509823100000002,0,125.010371,84.9556
CDFLTW,71,0.7165109,1.832,0,1.8925962,19.1679012,3.329e-4,19,0.8801065,-7.879956057278023,-1.6989969588766283,1,28,16.699169,0,49.155206,45.9137,63,29.509823099999995,0,125.01037099999999,84.9556
CPSC20,71,0.3738784,1.092,0,2.3320879,6.037037,6.365e-4,25,0.8801065,-7.231813783861542,-0.53510853361586,1,0,0,0,0,0,91,46.5516246,0,173.7260853,131.6093
CR300,71,0.7752835,1.8,0,1.6578297,11.5728395,1.197e-4,16,0.8801065,-8.902809589295074,-1.0257888388984038,1,13,6.4289553,0,21.9912776,20.3218,78,39.7212642,0,152.4090659,110.5795
CRNEWP,71,0.6593143,1.8,0,1.5287637,10.345679,0.0010378,16,0.8801065,-6.742939834925363,-0.9170162645931104,1,13,6.5449245,0,22.120343600000002,20.3218,78,39.7212642,0,152.40906589999997,110.5795
CRNEWY,71,0.7727797,1.8,0,1.8937088,12.1234568,3.387e-4,16,0.8801065,-7.8626834420352765,-1.074594240618904,1,13,6.4314591,0,21.755398500000002,20.3218,78,39.7212642,0,152.40906589999997,110.5795
CVBELA,71,0.3885316,1.736,0,1.4175,7.982716,7.317e-4,19,0.8801065,-7.092427607969019,-0.7075688707940441,1,28,17.0271483,0,49.6303022,46.0097,63,29.5098231,0,125.010371,84.9556
CVBISC,71,0.3885316,1.736,0,1.4175,7.6444444,3.803e-4,19,0.8801065,-7.746837786924789,-0.6775852845016476,1,28,17.0271483,0,49.6303022,46.0097,63,29.5098231,0,125.010371,84.9556
CVCAMA,71,0.468649,1.41,0,1.62,7.2123457,0.0018118,19,0.8801065,-6.185722096623816,-0.6392850882738756,1,28,16.9470309,0,49.4278022,46.3357,63,29.5098231,0,125.01037099999999,84.9556
CVCAPR,71,0.6311881,1.736,0,1.4631181,10.2074074,0.0020888,19,0.8801065,-6.0434531844740835,-0.9047602003820214,1,28,16.7844918,0,49.5846841,46.0097,63,29.509823099999995,0,125.01037099999999,84.9556
CVCHEV,71,0.4517134,1.5352,0,1.6823077,6.6098765,0.00503,19,0.8801065,-5.164622938765218,-0.5858836580423366,1,28,16.9639665,0,49.3654945,46.210499999999996,63,29.509823099999995,0,125.010371,84.9556
CVCORV,71,0.843223,1.2627,0,1.8725687,13.6617284,3.58e-4,19,0.8801065,-7.807265215458303,-1.2109429593991472,1,28,16.572456900000002,0,49.1752335,46.483,63,29.509823099999995,0,125.01037100000002,84.9556
CVIMPA,71,0.3856383,1.736,0,1.4063736,8.3728395,0.0086585,19,0.8801065,-4.621501425466797,-0.7421484855974794,1,28,17.0300416,0,49.6414286,46.0097,63,29.509823100000002,0,125.010371,84.9556
CVMNTC,71,0.7024083,1.5732,0,1.6044231,8.4345679,0.0021865,19,0.8801065,-5.997740831006028,-0.7476199434676983,1,28,16.713271600000002,0,49.4433791,46.1725,63,29.509823099999995,0,125.010371,84.95560000000002
CVNOVA,71,0.4872312,1.387,0,1.8024725,5.9382716,0.0035328,19,0.8801065,-5.517952165216282,-0.526354204569014,1,28,16.9284487,0,49.2453297,46.3587,63,29.509823100000002,0,125.010371,84.9556
CVVEGA,71,0.4193849,1.122,0,2.2119231,5.1604938,0.0040049,19,0.8801065,-5.392524311457282,-0.4574138389497592,1,28,16.996295,0,48.8358791,46.6237,63,29.509823100000002,0,125.01037099999999,84.95559999999999
DGCHAR,71,0.4510109,1.5862,0,1.5443407,6.6839506,6.02e-5,16,0.8801065,-9.590125849544227,-0.5924494092593515,1,13,6.7532279,0,22.1047666,20.5356,78,39.7212642,0,152.4090659,110.57950000000001
DGCHLN,71,0.4139073,1.4784,0,1.6544918,6.7333333,4.403e-4,16,0.8801065,-7.600341889097295,-0.5968265737827745,1,13,6.7903315,0,21.994615500000002,20.6434,78,39.7212642,0,152.4090659,110.57950000000001
DGCOLT,71,0.4950495,1.0168,0,2.3309753,4.9259259,4.257e-4,16,0.8801065,-7.6340633290248965,-0.4366223008156792,1,13,6.709189299999999,0,21.318132000000002,21.105,78,39.7212642,0,152.4090659,110.57950000000001
DGCORN,71,0.4468413,1.6146,0,1.6144368,6.8567901000000004,0.0018469,16,0.8801065,-6.166534364977137,-0.6077694895232125,1,13,6.7573975,0,22.0346705,20.5072,78,39.72126419999999,0,152.4090659,110.57950000000001
DGDART,71,0.4310345,1.379,0,1.9493407,6.0493827,0.0031208,16,0.8801065,-5.641953543666556,-0.536202826962656,1,13,6.7732043,0,21.6997666,20.7428,78,39.72126419999999,0,152.4090659,110.57950000000001
DGMONA,71,0.6790123,1.768,0,1.5565797,10.4271605,2.739e-4,16,0.8801065,-8.07503512558997,-0.9242385900454506,1,13,6.5252265,0,22.0925276,20.3538,78,39.7212642,0,152.4090659,110.5795
DGPOLA,71,0.3861518,1.768,0,1.3785577,8.1432099,0.0010769,16,0.8801065,-6.705956379524167,-0.7217946665748701,1,13,6.818086999999999,0,22.270549600000002,20.3538,78,39.7212642,0,152.4090659,110.5795
DTCB11,71,0.4284814,0.906,0,2.7971703,4.2864198,7.983e-4,2,0.8801065,-7.00531373520725,-0.3799380082712741,1,1,0.4393505,0,2.4700549000000005,0.9920000000000001,90,46.05767109999999,0,170.790948,130.8033
DTPL51,71,0.4393505,0.992,0,2.4700549,5.2345679,0.0015762,2,0.8801065,-6.3250260359394535,-0.46397959016677415,1,1,0.4284814,0,2.7971703000000003,0.9060000000000001,90,46.05767109999999,0,170.790948,130.8033
FDCUST,71,0.3809524,1.736,0,1.4586676,8.1185185,5.091e-4,18,0.8801065,-7.4551537409507125,-0.7196060798812781,1,14,7.726676599999999,0,25.429327,22.2497,77,38.817874,0,149.17017859999999,108.71560000000001
FDGALA,71,0.3768506,1.736,0,1.4430907,8.8740741,0.0033081,18,0.8801065,-5.5836689164262605,-0.7865767227945567,1,14,7.730778399999999,0,25.4449039,22.2497,77,38.817874,0,149.17017859999999,108.71560000000001
FDLTD,71,0.6028636,1.736,0,1.4475412,9.7061728,0.0048151,18,0.8801065,-5.208286109410454,-0.8603319631849441,1,14,7.504765399999999,0,25.4404534,22.2497,77,38.817874,0,149.1701786,108.71560000000001
FDMAVE,71,0.3841721,1.3277,0,2.1307005,5.5185185,0.0037139,18,0.8801065,-5.467960385456928,-0.4891482928242771,1,14,7.7234568999999995,0,24.7572941,22.658,77,38.817873999999996,0,149.1701786,108.71560000000001
FDMUST,71,0.4977686,1.425,0,1.7323764,7.1876543,0.0018437,18,0.8801065,-6.168268500782657,-0.6370965015802836,1,14,7.6098604,0,25.1556182,22.5607,77,38.817873999999996,0,149.1701786,108.7156
FDPINT,71,0.3848127,1.141,0,2.2664423,4.7382716,0.0049234,18,0.8801065,-5.186043574131957,-0.4199890720811674,1,14,7.722816299999999,0,24.621552299999998,22.844700000000003,77,38.817874,0,149.1701786,108.71560000000001
FDTHNB,71,0.8202324,1.677,0,2.0505907,13.0740741,5.773e-4,18,0.8801065,-7.329436139792115,-1.15885468650202,1,14,7.287396599999999,0,24.837403899999998,22.3087,77,38.817873999999996,0,149.1701786,108.71560000000001
FDTORI,71,0.4642972,1.5939,0,1.7112363,6.5975309,0.0040303,18,0.8801065,-5.386202108001574,-0.5847893735593015,1,14,7.6433317999999995,0,25.1767583,22.3918,77,38.817874,0,149.1701786,108.71560000000001
FT124,71,0.3759398,1.0368,0,2.4389011,5.1382716,9.86e-5,17,0.8801065,-9.096726940250413,-0.455444116243783,1,1,0.2777778,0,2.7893818999999995,0.7896000000000001,90,46.2717854,0,170.8298902,130.8749
FT850,71,0.2777778,0.7896,0,2.7893819,3.8395062,3.75e-5,17,0.8801065,-10.063457268882637,-0.3403246547090904,1,1,0.3759398,0,2.4389010999999994,1.0368,90,46.2717854,0,170.8298902,130.8749
HD600,71,0.24375,0.8586,0,2.8361126,3.4444444,1.426e-4,3,0.8801065,-8.727754693878806,-0.30530732079418443,1,0,0,0,0,0,91,46.681753,0,173.2220606,131.8427
LCCONT,71,0.7196372,1.8,0,2.0795192,18.3185185,5.37e-4,18,0.8801065,-7.401800107350138,-1.6237097060279742,1,14,7.387991799999999,0,24.8084754,22.1857,77,38.817873999999996,0,149.1701786,108.7156
