model,group,year,month,i,xt,xt1,odometer,xtmxt1,bxt,bxt1,xtchange,frag
4403,1,83,5,0,0,504,504,504,1,1,0,0
4403,1,83,6,0,504,2705,2705,2201,1,1,0,0
4403,1,83,7,0,2705,7345,7345,4640,1,2,1,1
4403,1,83,8,0,7345,11591,11591,4246,2,3,1,1
4403,1,83,9,0,11591,16057,16057,4466,3,4,1,1
4403,1,83,10,0,16057,20796,20796,4739,4,5,1,1
4403,1,83,11,0,20796,25299,25299,4503,5,6,1,1
4403,1,83,12,0,25299,29311,29311,4012,6,6,0,0
4403,1,84,1,0,29311,34621,34621,5310,6,7,1,1
4403,1,84,2,0,34621,39738,39738,5117,7,8,1,1
4403,1,84,3,0,39738,42477,42477,2739,8,9,1,1
4403,1,84,4,0,42477,47038,47038,4561,9,10,1,1
4403,1,84,5,0,47038,52917,52917,5879,10,11,1,1
4403,1,84,6,0,52917,57723,57723,4806,11,12,1,1
4403,1,84,7,0,57723,63005,63005,5282,12,13,1,1
4403,1,84,8,0,63005,67321,67321,4316,13,14,1,1
4403,1,84,9,0,67321,72315,72315,4994,14,15,1,1
4403,1,84,10,0,72315,75145,75145,2830,15,16,1,1
4403,1,84,11,0,75145,79329,79329,4184,16,16,0,0
4403,1,84,12,0,79329,83318,83318,3989,16,17,1,1
4403,1,85,1,0,83318,87139,87139,3821,17,18,1,1
4403,1,85,2,0,87139,90723,90723,3584,18,19,1,1
4403,1,85,3,0,90723,93915,93915,3192,19,19,0,0
4403,1,85,4,0,93915,97306,97306,3391,19,20,1,1
4403,1,85,5,0,97306,101288,101288,0,20,21,1,1
4404,1,83,5,0,0,537,537,537,1,1,0,0
4404,1,83,6,0,537,570,570,33,1,1,0,0
4404,1,83,7,0,570,570,570,0,1,1,0,0
4404,1,83,8,0,570,4699,4699,4129,1,1,0,0
4404,1,83,9,0,4699,9235,9235,4536,1,2,1,1
4404,1,83,10,0,9235,13637,13637,4402,2,3,1,1
4404,1,83,11,0,13637,17366,17366,3729,3,4,1,1
4404,1,83,12,0,17366,21520,21520,4154,4,5,1,1
4404,1,84,1,0,21520,25330,25330,3810,5,6,1,1
4404,1,84,2,0,25330,29111,29111,3781,6,6,0,0
4404,1,84,3,0,29111,32898,32898,3787,6,7,1,1
4404,1,84,4,0,32898,37314,37314,4416,7,8,1,1
4404,1,84,5,0,37314,42512,42512,5198,8,9,1,1
4404,1,84,6,0,42512,47629,47629,5117,9,10,1,1
4404,1,84,7,0,47629,52183,52183,4554,10,11,1,1
4404,1,84,8,0,52183,58300,58300,6117,11,12,1,1
4404,1,84,9,0,58300,63962,63962,5662,12,13,1,1
4404,1,84,10,0,63962,67756,67756,3794,13,14,1,1
4404,1,84,11,0,67756,73190,73190,5434,14,15,1,1
4404,1,84,12,0,73190,76750,76750,3560,15,16,1,1
4404,1,85,1,0,76750,82139,82139,5389,16,17,1,1
4404,1,85,2,0,82139,87215,87215,5076,17,18,1,1
4404,1,85,3,0,87215,90778,90778,3563,18,19,1,1
4404,1,85,4,0,90778,95605,95605,4827,19,20,1,1
4404,1,85,5,0,95605,99782,99782,0,20,20,0,0
4405,1,83,5,0,0,508,508,508,1,1,0,0
4405,1,83,6,0,508,2953,2953,2445,1,1,0,0
4405,1,83,7,0,2953,7506,7506,4553,1,2,1,1
4405,1,83,8,0,7506,12056,12056,4550,2,3,1,1
4405,1,83,9,0,12056,16864,16864,4808,3,4,1,1
4405,1,83,10,0,16864,20890,20890,4026,4,5,1,1
4405,1,83,11,0,20890,24925,24925,4035,5,5,0,0
4405,1,83,12,0,24925,29144,29144,4219,5,6,1,1
4405,1,84,1,0,29144,33675,33675,4531,6,7,1,1
4405,1,84,2,0,33675,39164,39164,5489,7,8,1,1
4405,1,84,3,0,39164,42850,42850,3686,8,9,1,1
4405,1,84,4,0,42850,48826,48826,5976,9,10,1,1
4405,1,84,5,0,48826,53828,53828,5002,10,11,1,1
4405,1,84,6,0,53828,58009,58009,4181,11,12,1,1
4405,1,84,7,0,58009,63168,63168,5159,12,13,1,1
4405,1,84,8,0,63168,66932,66932,3764,13,14,1,1
4405,1,84,9,0,66932,72274,72274,5342,14,15,1,1
4405,1,84,10,0,72274,77193,77193,4919,15,16,1,1
4405,1,84,11,0,77193,82443,82443,5250,16,17,1,1
4405,1,84,12,0,82443,87852,87852,5409,17,18,1,1
4405,1,85,1,0,87852,92741,92741,4889,18,19,1,1
4405,1,85,2,0,92741,96007,96007,3266,19,20,1,1
4405,1,85,3,0,96007,99176,99176,3169,20,20,0,0
4405,1,85,4,0,99176,103253,103253,4077,20,21,1,1
4405,1,85,5,0,103253,106585,106585,0,21,22,1,1
4406,1,83,5,0,0,525,525,525,1,1,0,0
4406,1,83,6,0,525,2507,2507,1982,1,1,0,0
4406,1,83,7,0,2507,5590,5590,3083,1,2,1,1
4406,1,83,8,0,5590,7905,7905,2315,2,2,0,0
4406,1,83,9,0,7905,11959,11959,4054,2,3,1,1
4406,1,83,10,0,11959,15385,15385,3426,3,4,1,1
4406,1,83,11,0,15385,19142,19142,3757,4,4,0,0
4406,1,83,12,0,19142,21704,21704,2562,4,5,1,1
4406,1,84,1,0,21704,25325,25325,3621,5,6,1,1
4406,1,84,2,0,25325,25748,25748,423,6,6,0,0
4406,1,84,3,0,25748,25748,25748,0,6,6,0,0
